"AGER" "RELAT" "familr" "sexer" "IMPNBS" "REJETS" "OPGNB" "MOYRV" "TAVEP" "ENDET" "GAGET" "GAGEC" "GAGEM" "KVUNB" "QSMOY" "QCRED" "DMVTP" "BOPPN" "FACAN" "LGAGT" "VIENB" "VIEMT" "UEMNB" "UEMMTS" "XLGNB" "XLGMT" "YLVNB" "YLVMT" "NBELTS" "MTELTS" "NBCATS" "MTCATS" "NBBECS" "MTBECS" "ROCNB" "NTCAS" "NPTAG" "SEGV2S" "ITAVC" "HAVEF" "JNBJD1S" "JNBJD2S" "JNBJD3S" "DEPTS" "PVS" "SEXEQ" "FAMIQ" "PCSPQ" "QUALS" "kvunbq" "vienbq" "uemnbq" "xlgnbq" "ylvnbq" "rocnbq" "nptagq" "endetq" "gagetq" "facanq" "lgagtq" "havefq" "ageq" "relatq" "qsmoyq" "opgnbq" "moyrvq" "tavepq" "dmvtpq" "boppnq" "jnbjdq1" "jnbjdq2" "jnbjdq3" "itavcq" "CARVP"
"131842" 67 406 3 1 0 0 7 111 333877 7 9746 1635 8111 1 8962 29 11 54 0 0 1 286460 3 333877 2 115496 1 218381 0 0 0 0 0 0 0 2 0 5 947984 614107 0 0 1 "31" "3" "femme" "M" "755" "A" "K0" "V1" "U2" "X2" "Y1" "R0" "N0" "E1" "G1" "F0" "L0" "H1" "A2" "R2" "Q1" "O2" "M2" "T2" "D0" "B2" "J0" "J0" "J1" "I2" "oui"
"140210" 82 445 3 1 0 0 3 216 699037 0 76856 0 0 2 57988 216 11 83 0 76856 2 902591 4 699037 1 301057 2 251965 1 146015 0 0 0 0 33 2 0 5 3368558 2569775 3 3 5 "31" "1" "femme" "M" "770" "A" "K1" "V1" "U2" "X1" "Y2" "R1" "N0" "E0" "G1" "F0" "L1" "H1" "A2" "R2" "Q2" "O2" "M2" "T2" "D0" "B2" "J2" "J2" "J2" "I2" "oui"
"442153" 52 270 3 1 0 0 4 19579 8920 0 0 0 0 1 132468 4079 11 50 98500 0 0 0 3 19508920 2 8920 0 0 0 0 0 0 1 19500000 5 2 0 5 19856243 133896 0 0 0 "82" "6" "femme" "M" "465" "A" "K0" "V0" "U2" "X2" "Y0" "R1" "N0" "E0" "G0" "F1" "L0" "H1" "A2" "R2" "Q2" "O2" "M2" "T1" "D0" "B2" "J0" "J0" "J0" "I2" "oui"
"552427" 58 139 3 1 0 0 0 40 3402 0 0 0 0 1 1336 40 14 2 3394 0 0 0 1 3402 0 0 1 3402 0 0 0 0 0 0 0 1 0 1 122745 0 0 0 0 "97" "1" "femme" "M" "345" "C" "K0" "V0" "U1" "X0" "Y1" "R0" "N0" "E0" "G0" "F1" "L0" "H0" "A2" "R1" "Q0" "O0" "M2" "T1" "D1" "B0" "J0" "J0" "J0" "I2" "oui"
"556005" 27 99 1 1 0 0 0 17 76321 0 0 0 0 1 12221 17 11 23 0 0 0 0 3 76321 1 46312 2 30009 0 0 0 0 0 0 14 2 0 5 83224 0 0 0 0 "40" "1" "femme" "C" "840" "B" "K0" "V0" "U2" "X1" "Y2" "R1" "N0" "E0" "G0" "F0" "L0" "H0" "A0" "R1" "Q2" "O0" "M1" "T2" "D0" "B0" "J0" "J0" "J0" "I1" "oui"
"556686" 49 89 4 1 0 0 0 374 473350 0 209062 37859 171203 1 21187 208 11 49 0 0 1 21423 5 473350 3 399999 2 73351 0 0 0 0 0 0 11 3 1 4 494773 21423 2 1 12 "65" "1" "femme" "S" "555" "A" "K0" "V1" "U2" "X2" "Y2" "R1" "N1" "E0" "G1" "F0" "L0" "H1" "A1" "R0" "Q2" "O0" "M2" "T2" "D0" "B2" "J1" "J1" "J2" "I2" "oui"
"642458" 76 222 6 0 0 0 2 10 229440 0 0 0 0 1 2726 10 11 23 80930 0 0 0 3 229440 1 182895 2 46545 0 0 0 0 0 0 0 1 0 5 314651 79091 0 0 0 "64" "1" "homme" "V" "860" "A" "K0" "V0" "U2" "X1" "Y2" "R0" "N0" "E0" "G0" "F1" "L0" "H1" "A2" "R2" "Q0" "O1" "M0" "T2" "D0" "B0" "J0" "J0" "J0" "I2" "oui"
"642680" 64 216 3 1 0 0 5 24 78462 0 0 0 0 1 7154 24 11 67 0 0 0 0 4 78462 1 34820 2 9803 1 33839 0 0 0 0 27 1 0 5 81218 0 3 0 0 "65" "1" "femme" "M" "355" "A" "K0" "V0" "U2" "X1" "Y2" "R1" "N0" "E0" "G0" "F0" "L0" "H0" "A2" "R2" "Q1" "O2" "M1" "T2" "D0" "B2" "J2" "J0" "J0" "I1" "oui"
"643508" 38 188 1 1 0 0 2 26 0 5 28823 28823 0 1 7122 26 14 36 42649 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 2 0 6 14706 0 3 8 2 "65" "1" "femme" "C" "545" "C" "K0" "V0" "U0" "X0" "Y0" "R1" "N0" "E1" "G1" "F1" "L0" "H0" "A1" "R1" "Q1" "O1" "M2" "T0" "D1" "B1" "J2" "J2" "J1" "I1" "oui"
"808224" 46 135 3 0 0 0 2 40 96856 0 0 0 0 2 6531 24 11 51 0 0 0 0 2 96856 1 38775 1 58081 0 0 0 0 0 0 27 3 0 6 105333 0 17 0 18 "31" "1" "homme" "M" "348" "A" "K1" "V0" "U2" "X1" "Y1" "R1" "N0" "E0" "G0" "F0" "L0" "H0" "A1" "R1" "Q1" "O1" "M2" "T2" "D0" "B2" "J2" "J0" "J2" "I2" "oui"
"941007" 45 393 3 1 0 0 1 55 266391 0 0 0 0 1 83717 38 11 39 20500 0 0 0 2 266391 2 266391 0 0 0 0 0 0 0 0 15 2 0 5 310878 1452 0 0 0 "31" "1" "femme" "M" "635" "A" "K0" "V0" "U2" "X2" "Y0" "R1" "N0" "E0" "G0" "F1" "L0" "H1" "A1" "R2" "Q2" "O1" "M2" "T2" "D0" "B1" "J0" "J0" "J0" "I2" "oui"
"1231602" 60 321 3 1 0 0 2 47 154268 0 1277 1277 0 1 9994 44 11 80 0 0 0 0 4 154268 1 20246 2 79542 1 54480 0 0 0 0 11 1 0 6 174968 20200 5 1 0 "31" "1" "femme" "M" "348" "A" "K0" "V0" "U2" "X1" "Y2" "R1" "N0" "E0" "G1" "F0" "L0" "H1" "A2" "R2" "Q2" "O1" "M2" "T2" "D0" "B2" "J2" "J1" "J0" "I2" "oui"
"1248922" 34 362 1 1 0 0 2 32 48931 20 518657 9699 105008 1 9201 32 11 90 0 403950 0 0 2 48931 2 48931 0 0 0 0 0 0 0 0 40 2 0 4 48931 0 2 1 1 "65" "2" "femme" "C" "508" "B" "K0" "V0" "U2" "X2" "Y0" "R1" "N0" "E1" "G1" "F0" "L1" "H0" "A0" "R2" "Q2" "O1" "M2" "T2" "D0" "B2" "J1" "J1" "J1" "I1" "oui"
"1252395" 56 187 3 1 0 0 10 66 222748 0 0 0 0 2 11744 66 11 91 0 0 1 97531 4 222748 2 106657 2 116091 0 0 0 0 0 0 3 2 0 5 406994 97531 0 0 0 "31" "2" "femme" "M" "438" "A" "K1" "V1" "U2" "X2" "Y2" "R1" "N0" "E0" "G0" "F0" "L0" "H1" "A2" "R1" "Q2" "O2" "M2" "T2" "D0" "B2" "J0" "J0" "J0" "I2" "oui"
"1322846" 70 306 3 0 0 0 11 32 0 10 117378 1576 115802 2 743 32 11 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 0 6 10300 500 12 29 31 "31" "3" "homme" "M" "700" "B" "K1" "V0" "U0" "X0" "Y0" "R1" "N0" "E1" "G1" "F0" "L0" "H1" "A2" "R2" "Q0" "O2" "M2" "T0" "D0" "B1" "J2" "J2" "J2" "I0" "oui"
"1544241" 61 185 4 0 0 0 2 15 219959 0 2153 2153 0 1 6293 14 11 28 0 0 2 50524 4 219959 2 94594 0 0 2 125365 0 0 0 0 12 2 0 5 591101 369777 2 1 1 "65" "1" "homme" "S" "860" "A" "K0" "V1" "U2" "X2" "Y0" "R1" "N0" "E0" "G1" "F0" "L0" "H1" "A2" "R1" "Q1" "O1" "M1" "T2" "D0" "B1" "J1" "J1" "J1" "I2" "oui"
"1740892" 41 268 2 0 0 0 7 54 19673 0 0 0 0 2 19467 52 11 22 132295 0 13 2947037 3 19673 1 5300 2 14373 0 0 0 0 0 0 0 1 0 5 3530191 3505061 0 0 4 "31" "4" "homme" "D" "850" "A" "K1" "V1" "U2" "X1" "Y2" "R0" "N0" "E0" "G0" "F1" "L0" "H1" "A1" "R2" "Q2" "O2" "M2" "T1" "D0" "B0" "J0" "J0" "J2" "I2" "oui"
"2849823" 26 75 1 1 0 0 0 41 28172 8 249605 0 0 2 13329 41 11 48 0 249605 0 0 2 28172 2 28172 0 0 0 0 0 0 0 0 38 3 0 4 55618 0 0 0 0 "31" "1" "femme" "C" "840" "B" "K1" "V0" "U2" "X2" "Y0" "R1" "N0" "E1" "G1" "F0" "L1" "H0" "A0" "R0" "Q2" "O0" "M2" "T1" "D0" "B2" "J0" "J0" "J0" "I1" "oui"
